Source	Target	Weight_Type
ZFHX3	KIAA1109	TRANSFAC
ZFHX3	TNFRSF1A	TRANSFAC
ZFHX3	RAC1	TRANSFAC
ZFHX3	HUWE1	TRANSFAC
ZFHX3	WHSC1	TRANSFAC
ZFHX3	CHD8	TRANSFAC
ZFHX3	TAF1	TRANSFAC
ZFHX3	NUP214	TRANSFAC
ZFHX3	SF3B1	TRANSFAC
ZFHX3	MEFV	TRANSFAC
ZFHX3	ANKRD12	TRANSFAC
ZFHX3	ABL1	TRANSFAC
ZFHX3	NLRC4	TRANSFAC
ZFHX3	MTOR	TRANSFAC
ZFHX3	ASPM	TRANSFAC
ZFHX3	BCOR	TRANSFAC
ZFHX3	NLRP3	TRANSFAC
TP53	RNF213	TRANSFAC
TP53	KIAA1109	TRANSFAC
TP53	FN1	TRANSFAC
TP53	MECOM	TRANSFAC
TP53	JAK2	TRANSFAC
TP53	EGFR	TRANSFAC
TP53	PTEN	TRANSFAC
TP53	SMARCA4	TRANSFAC
TP53	PBRM1	TRANSFAC
TP53	CAD	TRANSFAC
TP53	CIC	TRANSFAC
TP53	SETD2	TRANSFAC
TP53	TNF	TRANSFAC
TP53	FANCA	TRANSFAC
TP53	NLRC4	TRANSFAC
TP53	MTOR	TRANSFAC
TP53	LIFR	TRANSFAC
TP53	PRPF8	TRANSFAC
TP53	CASP6	TRANSFAC
TP53	CHD8	TRANSFAC
TP53	VHL	TRANSFAC
TP53	SF3B1	TRANSFAC
TP53	GSDMD	TRANSFAC
TP53	NEB	TRANSFAC
TP53	NF1	TRANSFAC
TP53	APC	TRANSFAC
TP53	ATM	TRANSFAC
TP53	FADD	TRANSFAC
TP53	ARID1A	TRANSFAC
TP53	CASP12	TRANSFAC
TP53	MAST2	TRANSFAC
TP53	CDK12	TRANSFAC
TP53	SF3B1	TRANSFAC
TP53	TPR	TRANSFAC
TP53	ABL1	TRANSFAC
TP53	CASP3	TRANSFAC
ABL1	TP53	TRUST
EP300	ABCB1	TRUST
NF1	TP53	TRUST
SMARCA4	CAD	TRUST
SMARCA4	CDKN2A	TRUST
SMARCA4	MECOM	TRUST
SPEN	NCOR2	TRUST
TP53	ABCB1	TRUST
TP53	ABCB1	TRUST
TP53	BRCA2	TRUST
TP53	CASP1	TRUST
TP53	CASP3	TRUST
TP53	EGFR	TRUST
TP53	NLRC4	TRUST
TP53	PTEN	TRUST
TP53	PTEN	TRUST
TP53	TP53	TRUST
TP53	TP53	TRUST
TP53	WRN	TRUST
VHL	TP53	TRUST
