Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,Missense_Mutation,Nonsense_Mutation,Splice_Site,total,MutatedSamples,AlteredSamples
AHNAK2,0,0,0,0,2,0,0,0,2,2,2,0,0,0,3,0,0,3,3,3
ARID1A,1,0,0,0,0,0,0,0,1,1,1,3,0,0,1,3,0,7,6,6
ATRX,14,5,1,0,12,10,2,0,44,39,39,7,5,0,2,5,4,23,23,23
BCOR,0,1,0,0,1,0,0,0,2,2,2,3,1,0,2,0,0,6,6,6
CIC,0,0,0,0,1,1,0,0,2,2,2,23,8,2,39,4,3,79,65,65
EGFR,0,0,0,0,26,0,0,0,26,20,20,0,0,0,3,0,0,3,3,3
FBN2,0,0,0,0,3,0,0,0,3,3,3,1,0,0,3,1,0,5,5,5
IDH1,0,0,0,0,50,0,0,0,50,50,50,0,0,0,123,0,0,123,123,123
IDH2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,13,0,0,13,13,13
NF1,5,3,1,0,3,5,2,0,19,13,13,2,0,0,0,0,0,2,2,2
NOTCH1,0,0,0,0,2,0,0,0,2,2,2,1,0,12,10,1,1,25,22,22
PIK3CA,0,0,0,0,12,0,0,1,13,13,13,0,0,4,12,0,0,16,14,14
PIK3R1,0,0,0,0,2,0,1,0,3,3,3,1,0,5,2,0,0,8,7,7
PTEN,0,2,0,0,8,2,0,1,13,13,13,0,0,0,0,0,0,0,0,0
SETD2,0,1,0,0,3,1,0,0,5,4,4,0,0,0,1,0,0,1,1,1
SMARCA4,0,0,1,0,1,0,0,0,2,2,2,0,0,1,7,0,0,8,8,8
SYNE1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,0,4,4,4
TCF12,1,1,0,0,0,0,0,0,2,2,2,3,1,1,0,0,1,6,5,5
TP53,3,2,3,0,51,4,3,0,66,52,52,0,1,1,39,0,0,41,35,35
