Hugo_Symbol	project_id	altered	total	Missense_Mutation	Frame_Shift_Del	Nonsense_Mutation	Splice_Site	In_Frame_Del	Frame_Shift_Ins	Translation_Start_Site	Nonstop_Mutation	In_Frame_Ins	log_difference	GO_Cellular_Component
A1BG	BRCA	3	3	3	0	0	0	0	0	0	0	0	1.38629436111989	GO:0005576: extracellular region & GO:0005576: extracellular region
A1CF	BRCA	8	8	6	2	0	0	0	0	0	0	0	2.19722457733622	GO:0005634: nucleus & GO:0005634: nucleus
A2M	BRCA	12	13	8	1	3	0	0	0	0	0	0	2.77869513725	GO:0005576: extracellular region & GO:0005615: extracellular space
A2ML1	BRCA	10	12	9	0	1	0	0	0	0	0	0	2.87747432735804	GO:0005576: extracellular region & GO:0005615: extracellular space
A4GALT	BRCA	1	1	0	0	1	0	0	0	0	0	0	0.693147180559945	GO:0016020: membrane & GO:0005794: Golgi apparatus
A4GNT	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0016020: membrane & GO:0005794: Golgi apparatus
AAAS	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005634: nucleus & GO:0005737: cytoplasm
AACS	BRCA	2	2	2	0	0	0	0	0	0	0	0	1.09861228866811	GO:0005737: cytoplasm & GO:0005829: cytosol
AADAC	BRCA	6	6	4	0	2	0	0	0	0	0	0	1.94591014905531	GO:0016020: membrane & GO:0005783: endoplasmic reticulum
AADACL2	BRCA	4	4	3	1	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0005576: extracellular region
AADACL3	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0016020: membrane
AADACL4	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane
AADAT	BRCA	2	2	1	1	0	0	0	0	0	0	0	1.09861228866811	GO:0005739: mitochondrion & GO:0005759: mitochondrial matrix
AAGAB	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005737: cytoplasm & GO:0016607: nuclear speck
AAK1	BRCA	8	8	7	0	0	0	1	0	0	0	0	2.19722457733622	GO:0005886: plasma membrane & GO:0042995: cell projection
AAMP	BRCA	1	1	0	1	0	0	0	0	0	0	0	0.693147180559945	GO:0005737: cytoplasm & GO:0005886: plasma membrane
AANAT	BRCA	1	1	0	0	0	0	0	0	0	1	0	0.693147180559945	GO:0005737: cytoplasm & GO:0005829: cytosol
AAR2	BRCA	1	1	1	0	0	0	0	0	0	0	0	0.693147180559945	GO:0005681: spliceosomal complex
AARS	BRCA	12	12	9	1	1	1	0	0	0	0	0	2.56494935746154	NA
AARS2	BRCA	5	5	5	0	0	0	0	0	0	0	0	1.79175946922805	GO:0005737: cytoplasm & GO:0005739: mitochondrion
AARSD1	BRCA	3	3	2	1	0	0	0	0	0	0	0	1.38629436111989	GO:0005737: cytoplasm
AASDH	BRCA	8	8	5	3	0	0	0	0	0	0	0	2.19722457733622	NA
AASDHPPT	BRCA	5	5	4	1	0	0	0	0	0	0	0	1.79175946922805	GO:0005737: cytoplasm & GO:0005829: cytosol
AASS	BRCA	7	7	3	2	2	0	0	0	0	0	0	2.07944154167984	GO:0005739: mitochondrion & GO:0005739: mitochondrion
AATF	BRCA	2	3	2	0	0	0	0	0	0	0	0	1.64791843300216	GO:0005634: nucleus & GO:0005634: nucleus
AATK	BRCA	7	7	6	0	0	0	1	0	0	0	0	2.07944154167984	GO:0005737: cytoplasm & GO:0016020: membrane
ABAT	BRCA	5	5	4	0	1	0	0	0	0	0	0	1.79175946922805	GO:0005739: mitochondrion & GO:0005739: mitochondrion
ABCA1	BRCA	11	14	7	4	0	0	0	0	0	0	0	3.16260846336655	GO:0016020: membrane & GO:0005886: plasma membrane
ABCA10	BRCA	12	14	8	0	2	2	0	0	0	0	0	2.99244091703846	GO:0016020: membrane
ABCA12	BRCA	17	18	13	3	0	1	0	0	0	0	0	3.0603936260077	GO:0016020: membrane & GO:0005737: cytoplasm
ABCA13	BRCA	42	48	34	1	5	1	0	1	0	0	0	4.2985144179355	GO:0016020: membrane & GO:0005886: plasma membrane
ABCA2	BRCA	4	4	4	0	0	0	0	0	0	0	0	1.6094379124341	GO:0016020: membrane & GO:0016020: membrane
ABCA3	BRCA	13	16	11	2	0	0	0	0	0	0	0	3.24807055952647	GO:0016020: membrane & GO:0005768: endosome
ABCA4	BRCA	12	16	11	1	0	0	0	0	0	0	0	3.41993247661538	GO:0016020: membrane & GO:0005886: plasma membrane
ABCA5	BRCA	12	14	11	1	0	0	0	0	0	0	0	2.99244091703846	GO:0016020: membrane & GO:0005886: plasma membrane
ABCA6	BRCA	14	15	10	0	2	2	0	0	0	0	0	2.9014823583238	GO:0016020: membrane & GO:0005654: nucleoplasm
ABCA7	BRCA	14	14	8	4	1	0	1	0	0	0	0	2.70805020110221	GO:0016020: membrane & GO:0005737: cytoplasm
ABCA8	BRCA	23	26	19	2	0	2	0	0	0	0	0	3.59258259082811	GO:0016020: membrane & GO:0005886: plasma membrane
ABCA9	BRCA	17	18	15	1	0	1	0	0	0	0	0	3.0603936260077	GO:0016020: membrane
ABCB1	BRCA	10	10	8	2	0	0	0	0	0	0	0	2.39789527279837	GO:0016020: membrane & GO:0005737: cytoplasm
