Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,log_difference
TTN,209,87,18,2,8869,727,0,148,0,10060,3231,3231,25.1604505049794
MUC16,88,34,9,1,4356,261,0,44,0,4793,2046,2046,17.8604388548752
NEB,56,17,3,0,1312,108,0,60,0,1556,837,837,12.513099360036
DNAH5,38,11,2,0,1598,151,0,51,0,1851,1029,1029,12.4790751840088
LRP1B,53,27,1,1,1924,187,0,72,0,2265,1312,1312,12.3954712387926
SYNE1,43,24,1,1,1892,194,0,48,0,2203,1279,1279,12.3233914239881
CSMD3,53,15,3,1,1963,224,0,68,1,2328,1371,1371,12.2666154293869
PCLO,73,26,7,1,1643,127,0,12,0,1889,1110,1110,11.9347629068732
RYR2,34,9,2,0,1937,159,0,65,0,2206,1333,1333,11.9086553050301
FAT4,31,12,2,0,1469,116,0,10,0,1640,951,951,11.827599008473
CCDC168,19,7,0,0,294,27,0,0,0,347,149,149,11.6690634030295
DNAH8,38,14,6,0,1121,119,0,51,1,1350,786,786,11.4530637854497
USH2A,35,11,2,1,1642,120,1,37,0,1849,1148,1148,11.3495216173714
OBSCN,41,17,4,0,1448,77,0,23,0,1610,1013,1013,11.0008585157782
XIRP2,36,17,1,0,1310,113,0,8,0,1485,924,924,10.9764542210021
RYR3,32,6,2,1,1214,91,0,43,0,1389,857,857,10.9476605533125
DNAH7,48,13,1,0,1059,118,1,27,0,1267,771,771,10.9264117054233
FAT3,25,10,3,0,1317,101,0,7,0,1463,915,915,10.9045726136812
ZFHX4,69,22,4,0,1450,101,1,3,1,1651,1056,1056,10.8865782828331
GPR98,41,15,3,0,1225,116,0,30,0,1430,894,894,10.8718768648021
CSMD1,20,4,1,0,1334,116,0,33,0,1508,953,953,10.8561183804239
ANK3,49,18,7,0,918,80,0,13,0,1085,653,653,10.7720849560966
SACS,44,15,3,1,824,105,0,1,0,993,596,596,10.6496202912732
HMCN1,44,25,3,0,1186,121,0,48,0,1427,917,917,10.6164402141935
FLG,24,18,5,0,1634,105,0,1,0,1787,1199,1199,10.5671120146221
LRP2,14,11,8,1,1130,89,0,38,0,1291,821,821,10.5540278319337
MUC17,10,6,3,0,1283,56,0,3,0,1361,875,875,10.5385979997308
SYNE2,48,17,7,0,903,116,1,28,0,1120,696,696,10.535056982833
DNAH10,31,10,1,0,910,72,0,16,0,1040,638,638,10.5302517751609
DNAH9,23,8,3,1,1117,91,0,26,0,1269,810,810,10.4939532847808
WDR87,18,5,0,0,318,44,0,0,0,385,194,194,10.4644578868404
DST,44,18,7,0,824,134,0,23,0,1050,652,652,10.4381226775157
DMD,35,16,1,0,963,141,0,36,0,1192,758,758,10.4292165153768
DNAH11,41,17,1,0,1010,105,0,37,0,1211,773,773,10.420509105973
ABCA13,32,18,3,0,1044,105,0,19,0,1221,782,782,10.4036892861954
APC,180,89,2,1,478,502,0,25,0,1277,828,828,10.364397509792
DNAH3,24,7,2,0,942,98,0,14,0,1087,687,687,10.3380327028145
APOB,37,20,4,0,1122,80,0,5,0,1268,824,824,10.3338666673208
PKHD1L1,39,5,1,0,1098,78,0,42,0,1263,823,823,10.3037635228137
PCDH15,24,11,4,1,1117,85,0,29,0,1271,841,841,10.1797579049964
AHNAK2,44,7,2,1,1075,57,0,0,0,1186,780,780,10.1274899073203
MUC5B,55,9,8,0,990,35,0,12,0,1109,723,723,10.1003231731062
VCAN,10,5,2,0,755,82,0,11,0,865,544,544,10.0187127065877
CMYA5,16,4,2,0,729,72,0,5,0,828,517,517,10.0096315291893
HERC2,31,15,5,0,834,60,0,30,0,975,630,630,9.97797335869473
DYNC2H1,16,11,0,0,635,92,0,28,0,782,485,485,9.97446421420657
MDN1,42,6,1,0,778,85,0,12,0,924,597,597,9.8956078000844
RYR1,16,9,4,0,1137,63,0,28,0,1257,860,860,9.87781952565774
FAT1,75,39,5,0,722,198,1,24,0,1064,714,714,9.79398967146558
BIRC6,25,15,8,1,745,68,0,23,0,885,581,581,9.69763570781811
KIAA1109,26,13,2,0,777,76,0,19,0,913,604,604,9.682075467189
ASPM,35,18,1,1,656,77,0,7,0,795,513,513,9.67362084997438
KMT2C,113,38,7,1,879,222,1,38,1,1300,918,918,9.66260561989367
DNAH2,22,4,0,1,778,60,0,20,0,885,584,584,9.65561041917841
AHNAK,33,10,12,0,887,47,0,2,0,991,669,669,9.63933066214282
KMT2D,215,57,18,2,814,230,0,44,0,1380,988,988,9.63303459275237
DCHS2,25,5,2,0,762,56,0,11,1,862,568,568,9.62750868700158
HYDIN,19,15,1,0,901,63,0,15,1,1015,691,691,9.60590411715186
CSMD2,27,3,1,0,970,61,0,21,0,1083,749,749,9.5721485749965
RELN,10,8,3,0,878,83,0,33,0,1015,701,701,9.4896467975552
SPTA1,35,13,2,0,1125,94,0,37,0,1306,943,943,9.48702520995337
GPR112,19,18,0,0,818,48,1,8,0,912,619,619,9.47318927943731
MACF1,25,10,2,0,751,78,0,24,0,890,602,602,9.46462841376611
DNAH14,17,10,1,0,347,36,0,7,0,418,243,243,9.45603423116279
RP1,17,14,4,0,799,66,0,2,0,902,613,613,9.44671358105827
FAT2,30,17,3,2,744,61,0,10,0,867,588,588,9.4049243218128
TRANK1,10,3,1,0,526,43,0,6,0,589,373,373,9.35492403398702
LRP1,24,20,2,0,748,43,0,14,0,851,579,579,9.35222265304479
ABCA12,35,10,0,0,614,60,0,28,0,747,498,498,9.31890914362728
PTEN,237,104,22,1,523,234,0,79,2,1202,874,874,9.31649555080303
CACNA1E,16,4,3,0,848,45,0,25,0,941,657,657,9.29427981792561
NBEA,33,13,2,0,607,90,0,23,0,768,517,517,9.28429591113207
MUC4,12,3,1,0,681,53,2,7,0,759,511,511,9.26592640000976
LYST,25,10,4,0,563,77,0,13,1,693,459,459,9.2569497978471
MXRA5,11,3,1,0,816,44,0,6,0,881,611,611,9.25227682633938
PDE4DIP,13,10,1,1,669,67,0,10,2,773,524,524,9.23970774233459
MGAM,10,2,0,0,690,56,0,30,1,789,537,537,9.23858548224888
TEX15,26,10,1,0,538,56,0,3,0,634,414,414,9.23171155030498
MYCBP2,31,8,5,2,649,52,0,29,1,777,530,530,9.19903790661318
DNAH17,24,4,0,0,758,45,0,15,0,846,589,589,9.16397905979151
ANK2,28,5,2,0,844,72,0,11,0,962,686,686,9.16050377422434
HUWE1,12,11,7,0,783,43,0,22,0,878,617,617,9.14498681628501
BRCA2,50,22,4,0,532,71,0,8,0,687,461,461,9.14345570536476
UNC13C,20,12,2,0,714,79,0,14,1,842,588,588,9.13373273237183
PRKDC,45,25,4,1,594,79,1,37,0,786,543,543,9.1178160368854
VPS13C,31,12,4,0,519,78,1,31,0,676,454,454,9.11304197183005
PLEC,20,5,7,0,720,44,0,6,0,802,557,557,9.10616855983808
TENM1,15,8,2,1,786,56,0,20,0,888,629,629,9.09983974501493
DNAH6,20,8,1,0,397,44,0,7,0,477,299,299,9.09934528565555
TP53,407,128,79,12,2801,553,0,291,1,4272,3886,3886,9.08640211029354
ZFHX3,85,27,1,2,577,63,0,2,0,757,522,522,9.07759227643132
EYS,21,13,1,1,534,59,0,17,1,647,433,433,9.07450303363271
PKHD1,17,9,2,0,833,70,0,30,0,961,693,693,9.07260541709529
MKI67,23,4,5,1,585,51,0,2,0,671,453,453,9.06234706376544
ZDBF2,32,8,2,0,549,60,0,2,0,653,439,439,9.05390409265088
LAMA2,26,12,3,0,704,82,0,33,0,860,610,610,9.04423505719274
SVEP1,14,5,1,0,705,42,0,14,0,781,545,545,9.03182645881976
RNF213,17,6,3,1,635,51,0,13,0,726,500,500,9.02651205877522
TPTE,9,8,0,0,618,51,1,43,2,732,505,505,9.02539572657114
SI,25,11,0,0,746,69,0,38,0,889,636,636,9.02526450283593
VPS13B,36,13,2,2,682,61,0,17,0,813,573,573,9.0134165780241
FSIP2,31,18,1,1,469,49,0,4,0,573,378,378,9.00055091405352
COL6A3,24,3,1,0,783,40,0,22,0,873,625,625,8.99448459835262
CUBN,35,9,2,0,808,65,0,28,0,947,689,689,8.98439324081127
DSCAM,17,4,1,0,720,41,0,12,0,795,561,561,8.97244914557127
THSD7B,13,5,0,0,700,78,1,11,0,808,575,575,8.93171302581266
TENM3,15,2,0,0,689,53,0,13,0,772,545,545,8.92774651243132
AKAP9,46,8,2,0,542,99,0,11,0,708,493,493,8.90749522549503
DMXL2,25,8,3,0,487,49,0,16,0,588,395,395,8.90397862333578
PTPRD,11,2,1,0,650,57,0,21,0,742,522,522,8.89771924585474
LRRK2,35,15,2,1,600,77,0,25,0,755,533,533,8.89624551297363
NAV3,25,8,4,0,791,61,0,32,0,921,677,677,8.86873656158509
ATRX,145,40,4,0,538,135,0,29,0,891,652,652,8.85749267206334
ROS1,19,8,0,0,556,61,1,22,0,667,463,463,8.84514686033458
FCGBP,18,5,1,1,779,29,0,14,0,847,616,616,8.83419490786991
ASXL3,19,4,1,0,652,40,1,5,0,722,510,510,8.82874283162172
DSP,14,9,3,0,549,57,0,8,0,640,442,442,8.82326844531422
UTRN,9,6,2,1,550,65,0,20,0,653,453,453,8.81924386384327
WDFY4,10,4,1,0,312,26,0,9,0,362,222,222,8.81709991562416
COL11A1,30,7,1,0,789,69,1,59,0,956,713,713,8.81032834782138
FRY,10,8,0,0,536,63,0,13,0,630,435,435,8.80210255933308
UNC79,37,4,1,1,599,55,0,17,0,714,506,506,8.78884754261681
HERC1,21,5,6,0,556,74,0,12,0,674,473,473,8.77939478820821
GOLGB1,15,3,7,0,451,80,0,4,0,560,379,379,8.77703404095895
FAM135B,12,3,0,0,813,52,1,10,1,892,660,660,8.77640670476925
NF1,105,37,7,0,407,222,0,83,0,861,633,633,8.77600971527717
TG,28,11,5,0,696,42,0,22,1,805,587,587,8.7449151500143
IGSF10,20,7,0,0,536,46,0,0,2,611,424,424,8.72128887314344
UBR4,23,5,6,0,627,41,0,23,0,725,521,521,8.70788675856989
VPS13D,17,6,1,0,553,48,1,14,1,641,451,451,8.68929108042674
ATM,69,20,8,0,534,107,1,36,0,775,566,566,8.6815873858463
