"Hugo_Symbol","project_id","altered","total","Missense_Mutation","Frame_Shift_Del","Nonsense_Mutation","Splice_Site","In_Frame_Del","Frame_Shift_Ins","Translation_Start_Site","Nonstop_Mutation","In_Frame_Ins","log_difference"
"TTN","TCGA-BRCA",214,321,176,14,16,6,1,0,0,0,1,8.05595704219149
"PIK3CA","TCGA-BRCA",351,393,336,0,0,0,15,0,0,0,0,6.56526225643889
"MUC16","TCGA-BRCA",116,156,104,5,6,0,0,1,0,0,0,6.40430287783147
"TP53","TCGA-BRCA",352,356,214,48,46,25,5,14,0,0,0,5.93313246667118
"SYNE1","TCGA-BRCA",66,88,52,3,8,3,0,0,0,0,0,5.60625682585462
"RYR2","TCGA-BRCA",68,84,59,2,3,4,0,0,0,0,0,5.23036685862014
"DST","TCGA-BRCA",39,55,26,4,4,2,1,2,0,0,0,5.20226589682735
"DMD","TCGA-BRCA",53,69,39,4,7,2,0,1,0,0,0,5.19320564552707
"MAP3K1","TCGA-BRCA",122,131,26,37,23,4,4,28,0,0,0,5.16718156191628
"NEB","TCGA-BRCA",59,74,45,3,4,4,2,1,0,0,0,5.13527962041416
"KMT2C","TCGA-BRCA",106,116,37,20,35,3,1,10,0,0,0,5.11366174337341
"ATRX","TCGA-BRCA",28,42,20,4,2,1,1,0,0,0,0,5.05094374497971
"HMCN1","TCGA-BRCA",66,78,52,3,8,1,1,1,0,0,0,4.96918218655296
"SYNE2","TCGA-BRCA",46,59,39,3,3,0,0,0,0,1,0,4.93823279349768
"GPR98","TCGA-BRCA",43,56,31,5,5,1,0,1,0,0,0,4.92824696510285
"CDH1","TCGA-BRCA",131,132,16,34,31,13,4,33,0,0,0,4.92007521970535
"MUC5B","TCGA-BRCA",36,49,31,3,0,1,1,0,0,0,0,4.91486049221019
"GATA3","TCGA-BRCA",130,131,13,24,4,23,1,65,0,0,0,4.91269884107193
"FLG","TCGA-BRCA",68,78,62,1,3,0,2,0,0,0,0,4.85676922586156
"AHNAK","TCGA-BRCA",30,42,28,2,0,0,0,0,0,0,0,4.8075820862792
"LRP1B","TCGA-BRCA",38,49,34,3,1,0,0,0,0,0,0,4.72406633316718
"SPEN","TCGA-BRCA",37,48,15,9,9,0,0,4,0,0,0,4.7190306936991
"AKAP9","TCGA-BRCA",31,42,25,2,4,0,0,0,0,0,0,4.69551315863189
"DNAH6","TCGA-BRCA",30,41,25,3,1,1,0,0,0,0,0,4.6931158461297
"HERC1","TCGA-BRCA",29,40,21,4,3,1,0,0,0,0,0,4.69130673332711
"ANK3","TCGA-BRCA",28,39,23,3,0,0,1,1,0,0,0,4.69016204890973
"RYR3","TCGA-BRCA",45,55,36,2,3,4,0,0,0,0,0,4.67945059570889
"SPTA1","TCGA-BRCA",56,64,45,3,6,2,0,0,0,0,0,4.62063002038234
"ZFHX4","TCGA-BRCA",54,62,48,3,1,0,1,1,0,0,0,4.60101217563728
"CMYA5","TCGA-BRCA",30,40,27,1,2,0,0,0,0,0,0,4.57864960598019
"OBSCN","TCGA-BRCA",48,56,41,3,2,0,0,2,0,0,0,4.5404570144624
"XIRP2","TCGA-BRCA",37,46,31,2,4,0,0,0,0,0,0,4.52240441479497
"TEX15","TCGA-BRCA",32,41,25,3,2,1,0,1,0,0,0,4.47990031312893
"MPDZ","TCGA-BRCA",14,23,10,2,1,1,0,0,0,0,0,4.44893961609649
"MUC6","TCGA-BRCA",14,23,10,2,2,0,0,0,0,0,0,4.44893961609649
"DNAH10","TCGA-BRCA",27,36,20,4,1,1,0,1,0,0,0,4.44293934690027
"SACS","TCGA-BRCA",26,35,21,2,2,1,0,0,0,0,0,4.43670347346737
"SHANK2","TCGA-BRCA",15,24,11,1,2,1,0,0,0,0,0,4.43614195558365
"USH2A","TCGA-BRCA",64,68,59,2,1,1,0,1,0,0,0,4.43528647426411
"PKHD1L1","TCGA-BRCA",45,52,35,4,2,3,0,1,0,0,0,4.42420783594295
"PRUNE2","TCGA-BRCA",33,41,29,1,3,0,0,0,0,0,0,4.38123580331099
"DNAH17","TCGA-BRCA",39,46,32,2,2,2,0,1,0,0,0,4.35098602280105
"HUWE1","TCGA-BRCA",39,46,34,3,2,0,0,0,0,0,0,4.35098602280105
"MDN1","TCGA-BRCA",38,45,32,2,3,1,0,0,0,0,0,4.33842826515353
"ASPM","TCGA-BRCA",28,36,24,2,1,1,0,0,0,0,0,4.32938035283975
"APOB","TCGA-BRCA",37,44,31,3,2,0,1,0,0,0,0,4.32577813589084
"MYCBP2","TCGA-BRCA",36,43,29,2,5,0,0,0,0,0,0,4.31304084010282
"ABCA13","TCGA-BRCA",42,48,34,1,5,1,0,1,0,0,0,4.2985144179355
"COL14A1","TCGA-BRCA",24,32,18,3,1,2,0,0,0,0,0,4.2918344331576
"DNAH8","TCGA-BRCA",34,41,24,4,5,1,0,0,0,0,0,4.2873314859137
"DMXL2","TCGA-BRCA",22,30,17,2,3,0,0,0,0,0,0,4.27567393081248
"SZT2","TCGA-BRCA",21,29,13,5,2,1,0,0,0,0,0,4.26858243559006
"DNAH14","TCGA-BRCA",32,39,22,4,4,2,0,0,0,0,0,4.26136859053727
"PTEN","TCGA-BRCA",65,66,21,17,13,6,2,6,0,0,0,4.25411096882683
"SRRM2","TCGA-BRCA",17,25,13,2,1,0,1,0,0,0,0,4.25054670278848
"APC","TCGA-BRCA",16,24,13,1,1,0,0,1,0,0,0,4.24982001608432
"CSMD1","TCGA-BRCA",43,48,35,2,3,3,0,0,0,0,0,4.22421168437387
"BIRC6","TCGA-BRCA",28,35,23,2,1,1,1,0,0,0,0,4.20911978748309
"PCLO","TCGA-BRCA",42,47,29,5,5,0,2,1,0,0,0,4.20896203422851
"CSMD3","TCGA-BRCA",47,51,41,1,2,2,0,0,0,0,1,4.20066492672984
"CSMD2","TCGA-BRCA",35,41,31,2,1,1,0,0,0,0,0,4.19783647076287
"KMT2D","TCGA-BRCA",35,41,22,8,2,0,1,2,0,0,0,4.19783647076287
"UBR4","TCGA-BRCA",27,34,23,2,1,1,0,0,0,0,0,4.19610938318359
"MUC17","TCGA-BRCA",46,50,40,0,6,0,0,0,0,0,0,4.18494304533702
"NCOR1","TCGA-BRCA",55,57,22,6,15,8,0,4,0,0,0,4.17172811585279
"CREBBP","TCGA-BRCA",25,32,17,4,1,1,0,2,0,0,0,4.1703635686675
"CTSK","TCGA-BRCA",3,9,2,1,0,0,0,0,0,0,0,4.15888308335967
"NOL6","TCGA-BRCA",7,14,6,0,1,0,0,0,0,0,0,4.15888308335967
"FOXA1","TCGA-BRCA",32,38,25,5,0,0,1,1,0,0,0,4.15210272924145
"MAP1A","TCGA-BRCA",32,38,25,2,4,0,0,1,0,0,0,4.15210272924145
"MXRA5","TCGA-BRCA",31,37,26,1,3,0,1,0,0,0,0,4.13652349689
"BAZ2B","TCGA-BRCA",21,28,17,2,2,0,0,0,0,0,0,4.12138993781109
"LRP2","TCGA-BRCA",41,45,36,2,1,2,0,0,0,0,0,4.10232031275004
"FAT3","TCGA-BRCA",45,48,39,3,2,0,1,0,0,0,0,4.08388415625503
"TACC2","TCGA-BRCA",16,23,14,1,1,0,0,0,0,0,0,4.07274418208081
"F5","TCGA-BRCA",27,33,23,1,1,2,0,0,0,0,0,4.07269440132525
"DNAH11","TCGA-BRCA",39,43,33,3,2,1,0,0,0,0,0,4.06722606479229
"ADNP","TCGA-BRCA",15,22,10,1,2,0,0,2,0,0,0,4.06646345928501
"CEP350","TCGA-BRCA",26,32,19,3,4,0,0,0,0,0,0,4.05641460431302
"KIAA1109","TCGA-BRCA",32,37,24,1,4,2,0,1,0,0,0,4.04283686794562
"LYST","TCGA-BRCA",32,37,23,2,5,1,1,0,0,0,0,4.04283686794562
"FAT2","TCGA-BRCA",25,31,19,2,2,0,1,0,0,0,1,4.04003970714664
"VPS13C","TCGA-BRCA",31,36,26,2,1,2,0,0,0,0,0,4.02472556454162
"ARID1A","TCGA-BRCA",41,44,13,9,15,3,0,1,0,0,0,4.01115763913337
"CACNA1E","TCGA-BRCA",40,43,36,1,1,2,0,0,0,0,0,3.99208997170713
"RUNX1","TCGA-BRCA",40,43,14,9,3,1,1,12,0,0,0,3.99208997170713
"AHCTF1","TCGA-BRCA",29,34,23,3,3,0,0,0,0,0,0,3.98761072332804
"ANK2","TCGA-BRCA",29,34,24,2,2,1,0,0,0,0,0,3.98761072332804
"PRKDC","TCGA-BRCA",29,34,24,0,3,1,0,1,0,0,0,3.98761072332804
"DSP","TCGA-BRCA",20,26,16,2,2,0,0,0,0,0,0,3.95787916904045
"ZDBF2","TCGA-BRCA",20,26,16,1,3,0,0,0,0,0,0,3.95787916904045
"MUC4","TCGA-BRCA",47,48,43,1,2,0,1,0,0,0,0,3.95356698986338
"AFF2","TCGA-BRCA",27,32,23,2,2,0,0,0,0,0,0,3.94927941946691
"DNAH7","TCGA-BRCA",27,32,18,3,4,1,0,1,0,0,0,3.94927941946691
"SMG1","TCGA-BRCA",27,32,15,4,6,1,0,1,0,0,0,3.94927941946691
"WDR87","TCGA-BRCA",19,25,15,2,2,0,0,0,0,0,0,3.94175299151841
"DYNC1H1","TCGA-BRCA",32,36,26,1,1,3,0,1,0,0,0,3.93357100664979
"MED13","TCGA-BRCA",18,24,14,0,2,1,1,0,0,0,0,3.92591863888859
