Hugo_Symbol,project_id,altered,total,Missense_Mutation,Frame_Shift_Del,Nonsense_Mutation,Splice_Site,In_Frame_Del,Frame_Shift_Ins,Translation_Start_Site,Nonstop_Mutation,In_Frame_Ins,log_difference,GO_Cellular_Component
A1BG,TCGA-BRCA,3,3,3,0,0,0,0,0,0,0,0,1.38629436111989,GO:0005576: extracellular region | GO:0005576: extracellular region
A1CF,TCGA-BRCA,8,8,6,2,0,0,0,0,0,0,0,2.19722457733622,GO:0005634: nucleus | GO:0005634: nucleus
A2M,TCGA-BRCA,12,13,8,1,3,0,0,0,0,0,0,2.77869513725,GO:0005576: extracellular region | GO:0005615: extracellular space
A2ML1,TCGA-BRCA,10,12,9,0,1,0,0,0,0,0,0,2.87747432735804,GO:0005576: extracellular region | GO:0005615: extracellular space
A4GALT,TCGA-BRCA,1,1,0,0,1,0,0,0,0,0,0,0.693147180559945,GO:0016020: membrane | GO:0005794: Golgi apparatus
A4GNT,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0016020: membrane | GO:0005794: Golgi apparatus
AAAS,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0005634: nucleus | GO:0005737: cytoplasm
AACS,TCGA-BRCA,2,2,2,0,0,0,0,0,0,0,0,1.09861228866811,GO:0005737: cytoplasm | GO:0005829: cytosol
AADAC,TCGA-BRCA,6,6,4,0,2,0,0,0,0,0,0,1.94591014905531,GO:0016020: membrane | GO:0005783: endoplasmic reticulum
AADACL2,TCGA-BRCA,4,4,3,1,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane | GO:0005576: extracellular region
AADACL3,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0016020: membrane
AADACL4,TCGA-BRCA,4,4,4,0,0,0,0,0,0,0,0,1.6094379124341,GO:0016020: membrane
AADAT,TCGA-BRCA,2,2,1,1,0,0,0,0,0,0,0,1.09861228866811,GO:0005739: mitochondrion | GO:0005759: mitochondrial matrix
AAGAB,TCGA-BRCA,1,1,1,0,0,0,0,0,0,0,0,0.693147180559945,GO:0005737: cytoplasm | GO:0016607: nuclear speck
AAK1,TCGA-BRCA,8,8,7,0,0,0,1,0,0,0,0,2.19722457733622,GO:0005886: plasma membrane | GO:0042995: cell projection
